splitter,mean_acc,std_acc,mean_bal_acc,std_bal_acc,mean_mmd,mean_energy,mean_label_shift,mean_missing_train,n_seeds
random,0.965185,0.00613072,0.964954,0.00581715,0.00234433,0.0307211,0.0661381,0,10
adversarial,0.588239,0.152491,0.734029,0.0887987,0.0973776,1.1447,0.736219,0,10
overlap,0.967692,0.00547498,0.96765,0.00521807,0.00167288,0.0229087,0.0401702,0,10
balanced,0.965741,0.00592882,0.96577,0.00592608,0.00114273,0.0158516,0.0366362,0,10
